transaction_id,date,customer_id,items,items_count,total_value,marketing_channel,has_promo
1,2025-06-01,25,1018;1017;1019;1015;1006;1016,6,9.91,email,0
2,2025-06-01,62,1019;1017;1015;1022,4,12.52,none,0
3,2025-06-01,190,1017;1029;1030,3,12.81,none,0
4,2025-06-01,6,1018;1017;1015,3,3.52,email,0
5,2025-06-01,219,1030;1020,2,11.65,none,1
6,2025-06-01,29,1001;1029;1004;1003;1025;1013,6,12.61,email,0
7,2025-06-01,109,1002;1001;1024;1025;1003;1004,6,11.67,none,1
8,2025-06-01,78,1028;1027,2,6.4,none,1
9,2025-06-01,101,1006;1017;1007;1008,4,5.29,email,1
10,2025-06-01,201,1002;1024,2,4.22,none,0
11,2025-06-01,251,1028;1024;1004;1006;1005,5,9.77,social,0
12,2025-06-01,10,1028;1018;1003;1015;1008,5,9.89,email,0
13,2025-06-01,27,1027,1,3.0,social,0
14,2025-06-01,47,1026;1025,2,5.33,email,0
15,2025-06-01,117,1002;1014;1024,3,5.45,none,0
16,2025-06-01,209,1018;1019;1015,3,5.74,email,0
17,2025-06-01,46,1025;1007;1004;1005,4,6.58,none,0
18,2025-06-01,268,1017;1030;1009;1029;1004;1012;1022,7,19.79,none,1
19,2025-06-01,294,1027;1026,2,6.22,none,0
20,2025-06-01,271,1019;1016;1030,3,13.92,social,0
21,2025-06-01,290,1025;1003;1026;1022,4,13.9,none,0
22,2025-06-01,90,1023;1012;1007,3,5.12,social,1
23,2025-06-01,55,1017;1020;1024;1019;1022,5,17.66,social,0
24,2025-06-01,129,1018;1026;1010;1001;1004,5,9.79,email,0
25,2025-06-01,9,1018,1,1.06,none,1
26,2025-06-01,281,1029,1,2.77,social,1
27,2025-06-01,3,1002;1017;1020;1024;1004;1022,6,18.29,none,0
28,2025-06-01,160,1018;1016;1003,3,5.04,social,0
29,2025-06-01,77,1019;1003,2,5.5,none,0
30,2025-06-01,221,1006;1019;1026;1025,4,9.79,social,0
31,2025-06-01,15,1026;1025,2,4.7,email,1
32,2025-06-01,23,1002;1026;1001;1029;1025;1004,6,14.49,none,0
33,2025-06-01,280,1019;1016;1013,3,6.41,none,1
34,2025-06-01,42,1008;1005,2,2.79,none,0
35,2025-06-01,262,1017;1016,2,3.25,none,0
36,2025-06-01,46,1001;1026;1003,3,7.13,none,0
37,2025-06-01,33,1028;1008;1004,3,7.8,none,0
38,2025-06-01,48,1028;1009;1029;1025;1019,5,13.15,none,0
39,2025-06-01,216,1018;1026;1001;1025;1004,5,10.5,none,0
40,2025-06-01,102,1027;1026,2,6.22,social,0
41,2025-06-01,293,1006;1004;1014;1005,4,5.08,social,0
42,2025-06-01,148,1012;1025,2,3.45,none,0
43,2025-06-01,194,1023;1008;1010,3,5.38,none,1
44,2025-06-01,221,1011;1001,2,3.27,none,0
45,2025-06-01,245,1028;1023;1012;1021;1030,5,23.97,none,0
46,2025-06-01,41,1018;1027;1026;1006,4,7.13,none,1
47,2025-06-01,158,1011;1012;1009;1010,4,3.83,none,1
48,2025-06-01,28,1028;1017;1030;1029;1022;1006;1005,7,21.95,email,1
49,2025-06-01,90,1018;1017;1016;1010,4,4.98,none,1
50,2025-06-01,224,1021;1029;1030,3,16.64,social,1
51,2025-06-01,224,1002;1026;1001;1024,4,8.57,none,1
52,2025-06-01,147,1028;1008;1005,3,5.52,email,1
53,2025-06-01,127,1019;1029;1015,3,7.63,none,0
54,2025-06-01,235,1007;1008,2,3.47,email,0
55,2025-06-01,278,1002;1029;1030,3,11.66,none,1
56,2025-06-01,164,1030;1026;1029;1010,4,16.11,email,0
57,2025-06-01,168,1006;1009;1001;1026,4,6.75,social,0
58,2025-06-01,263,1020;1009;1023;1019;1022,5,14.51,none,1
59,2025-06-01,28,1027;1026;1024;1025;1007;1015,6,13.04,social,0
60,2025-06-01,145,1027;1026;1003;1025,4,10.29,email,0
61,2025-06-01,46,1028;1019;1029;1010,4,11.78,none,0
62,2025-06-02,245,1001;1029;1004;1025;1008;1022,6,17.71,email,0
63,2025-06-02,298,1020;1019;1023;1005,4,11.6,none,0
64,2025-06-02,67,1017;1022;1026;1020,4,14.17,none,1
65,2025-06-02,299,1018;1025;1001;1004,4,5.96,none,1
66,2025-06-02,127,1018;1026;1010;1013;1014;1012,6,8.65,none,1
67,2025-06-02,221,1009;1001;1025;1019;1015;1016,6,10.14,email,1
68,2025-06-02,105,1007;1027,2,4.54,social,0
69,2025-06-02,148,1002;1023;1024;1029,4,10.39,email,0
70,2025-06-02,122,1006;1009;1026,3,4.8,none,0
